file	line	call	code
framework/app/classes/core/controller_class_inc.php	143	show	return $objTable->show();
framework/app/classes/core/dbtablemanager_class_inc.php	811	init	dbtable::init($name, $this->_db);
framework/app/classes/core/engine_class_inc.php	884	init	if (! $_lu->init ()) {
framework/app/classes/core/engine_class_inc.php	890	init	$_luAdmin->init ();
framework/app/classes/core/engine_class_inc.php	930	init	$_luAdmin->init ();
framework/app/classes/core/object_class_inc.php	111	init	$this->init();
framework/app/core_modules/blocks/classes/blocks_class_inc.php	457	show	return $objFeatureBox->show($title, $this->objBlock->show(),
framework/app/core_modules/blocks/classes/blocks_class_inc.php	463	show	$objTab->addBoxContent($this->objBlock->show());
framework/app/core_modules/blocks/classes/blocks_class_inc.php	464	show	return "<br />" . $objTab->show();
framework/app/core_modules/blocks/classes/blocks_class_inc.php	476	show	$myTable->addCell($this->objBlock->show());
framework/app/core_modules/blocks/classes/blocks_class_inc.php	478	show	return $myTable->show();
framework/app/core_modules/blocks/classes/blocks_class_inc.php	486	show	$this->Layer2->addToStr($this->objBlock->show());
framework/app/core_modules/blocks/classes/blocks_class_inc.php	487	show	$this->Layer1->addToStr($this->Layer2->show());
framework/app/core_modules/blocks/classes/blocks_class_inc.php	488	show	return $this->Layer1->show();
framework/app/core_modules/blocks/classes/blocks_class_inc.php	491	show	return $this->objBlock->show();
framework/app/core_modules/blocks/classes/blocks_class_inc.php	573	show	return $objFeatureBox->show($title, $blockContents,
framework/app/core_modules/blocks/classes/blocks_class_inc.php	579	show	$objTab->addBoxContent($this->objBlock->show());
framework/app/core_modules/blocks/classes/blocks_class_inc.php	580	show	return "<br />" . $objTab->show();
framework/app/core_modules/blocks/classes/blocks_class_inc.php	594	show	return $myTable->show();
framework/app/core_modules/blocks/classes/blocks_class_inc.php	603	show	$this->Layer1->addToStr($this->Layer2->show());
framework/app/core_modules/blocks/classes/blocks_class_inc.php	604	show	return $this->Layer1->show();
framework/app/core_modules/blocks/classes/dbblocksdata_class_inc.php	38	init	parent::init('tbl_module_blocks');
framework/app/core_modules/blocks/classes/dynamicblocks_class_inc.php	82	init	parent::init ( 'tbl_dynamicblocks' );
framework/app/core_modules/blocks/classes/dynamicblocks_class_inc.php	118	show	return $objFeatureBox->show ( $block ['title'], $str );
framework/app/core_modules/cache/templates/content/edit_tpl.php	15	show	$leftCol .= $objSideBar->show();
framework/app/core_modules/cache/templates/content/edit_tpl.php	45	show	$cadd->addCell($ciplabel->show());
framework/app/core_modules/cache/templates/content/edit_tpl.php	46	show	$cadd->addCell($ip->show());
framework/app/core_modules/cache/templates/content/edit_tpl.php	57	show	$cadd->addCell($plabel->show());
framework/app/core_modules/cache/templates/content/edit_tpl.php	58	show	$cadd->addCell($port->show());
framework/app/core_modules/cache/templates/content/edit_tpl.php	65	show	$cfieldset->addContent($cadd->show());
framework/app/core_modules/cache/templates/content/edit_tpl.php	66	show	$cform->addToForm($cfieldset->show());
framework/app/core_modules/cache/templates/content/edit_tpl.php	67	show	$cform->addToForm($this->objCButton->show());
framework/app/core_modules/cache/templates/content/edit_tpl.php	68	show	$cform = $cform->show();
framework/app/core_modules/cache/templates/content/edit_tpl.php	112	show	$yesIcon = $this->objIcon->show();
framework/app/core_modules/cache/templates/content/edit_tpl.php	114	show	$noIcon = $this->objIcon->show();
framework/app/core_modules/cache/templates/content/edit_tpl.php	132	show	$tbl->addCell($extStatsLink->show());
framework/app/core_modules/cache/templates/content/edit_tpl.php	140	show	$middleColumn .= $cform.$tbl->show();
framework/app/core_modules/cache/templates/content/edit_tpl.php	266	show	$middleColumn .= $stbl->show();
framework/app/core_modules/cache/templates/content/edit_tpl.php	273	getSiteRoot	#$middleColumn .= '[IFRAME]'.$this->objConfig->getSiteRoot().$this->objConfig->getModuleUri().'cache/resources/apc.php[/IFRAME]';
framework/app/core_modules/cache/templates/content/edit_tpl.php	274	getSiteRoot	$middleColumn .= '[IFRAME]'.$this->objConfig->getSiteRoot().'core_modules/cache/resources/apc.php[/IFRAME]';
framework/app/core_modules/cache/templates/content/edit_tpl.php	279	show	$cssLayout->setLeftColumnContent($leftCol); //$leftMenu->show());
framework/app/core_modules/cache/templates/content/edit_tpl.php	281	show	echo $cssLayout->show();
framework/app/core_modules/canvas/classes/block_selecttype_class_inc.php	119	show	$ret .= $objLink->show();
framework/app/core_modules/canvas/classes/block_selecttype_class_inc.php	123	show	$ret .= "<br />" . $objLink->show();
framework/app/core_modules/canvas/classes/buildcanvas_class_inc.php	174	show	$this->upIcon = $objIcon->show();
framework/app/core_modules/canvas/classes/buildcanvas_class_inc.php	176	show	$this->downIcon = $objIcon->show();
